Namespace(batch_size=1, dataset='coco', disable_hybridization=False, epochs=26, gpus='', log_interval=100, lr=0.00125, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=-1, mixup=False, momentum=0.9, network='resnet101_v1d', no_mixup_epochs=20, norm_layer=None, num_workers=1, resume='', save_interval=1, save_prefix='faster_rcnn_resnet101_v1d_coco', seed=233, start_epoch=0, static_alloc=False, use_fpn=False, val_interval=1, verbose=False, wd=0.0001)
Start training from [Epoch 0]
Namespace(batch_size=1, dataset='coco', disable_hybridization=False, epochs=26, gpus='', log_interval=100, lr=0.00125, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=-1, mixup=False, momentum=0.9, network='resnet101_v1d', no_mixup_epochs=20, norm_layer=None, num_workers=4, resume='', save_interval=1, save_prefix='faster_rcnn_resnet101_v1d_coco', seed=233, start_epoch=0, static_alloc=False, use_fpn=False, val_interval=1, verbose=False, wd=0.0001)
Start training from [Epoch 0]
Namespace(batch_size=1, dataset='coco', disable_hybridization=False, epochs=26, gpus='0', log_interval=100, lr=0.00125, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=-1, mixup=False, momentum=0.9, network='resnet101_v1d', no_mixup_epochs=20, norm_layer=None, num_workers=4, resume='', save_interval=1, save_prefix='faster_rcnn_resnet101_v1d_coco', seed=233, start_epoch=0, static_alloc=False, use_fpn=False, val_interval=1, verbose=False, wd=0.0001)
Start training from [Epoch 0]
[Epoch 0][Batch 2799], Speed: 0.689 samples/sec, RPN_Conf=0.229,RPN_SmoothL1=0.152,RCNN_CrossEntropy=0.919,RCNN_SmoothL1=0.406,RPNAcc=0.908,RPNL1Loss=0.593,RCNNAcc=0.808,RCNNL1Loss=2.085
[Epoch 0][Batch 2899], Speed: 0.685 samples/sec, RPN_Conf=0.228,RPN_SmoothL1=0.152,RCNN_CrossEntropy=0.916,RCNN_SmoothL1=0.407,RPNAcc=0.908,RPNL1Loss=0.591,RCNNAcc=0.808,RCNNL1Loss=2.084
[Epoch 0][Batch 2999], Speed: 0.692 samples/sec, RPN_Conf=0.226,RPN_SmoothL1=0.152,RCNN_CrossEntropy=0.911,RCNN_SmoothL1=0.408,RPNAcc=0.909,RPNL1Loss=0.589,RCNNAcc=0.808,RCNNL1Loss=2.082
[Epoch 0][Batch 3099], Speed: 0.692 samples/sec, RPN_Conf=0.225,RPN_SmoothL1=0.151,RCNN_CrossEntropy=0.908,RCNN_SmoothL1=0.408,RPNAcc=0.909,RPNL1Loss=0.587,RCNNAcc=0.808,RCNNL1Loss=2.080
[Epoch 0][Batch 3199], Speed: 0.681 samples/sec, RPN_Conf=0.224,RPN_SmoothL1=0.151,RCNN_CrossEntropy=0.907,RCNN_SmoothL1=0.409,RPNAcc=0.910,RPNL1Loss=0.585,RCNNAcc=0.807,RCNNL1Loss=2.078
[Epoch 0][Batch 3299], Speed: 0.684 samples/sec, RPN_Conf=0.223,RPN_SmoothL1=0.150,RCNN_CrossEntropy=0.905,RCNN_SmoothL1=0.410,RPNAcc=0.910,RPNL1Loss=0.583,RCNNAcc=0.807,RCNNL1Loss=2.077
[Epoch 0][Batch 3399], Speed: 0.693 samples/sec, RPN_Conf=0.223,RPN_SmoothL1=0.150,RCNN_CrossEntropy=0.903,RCNN_SmoothL1=0.411,RPNAcc=0.910,RPNL1Loss=0.583,RCNNAcc=0.807,RCNNL1Loss=2.079
[Epoch 0][Batch 3499], Speed: 0.692 samples/sec, RPN_Conf=0.221,RPN_SmoothL1=0.150,RCNN_CrossEntropy=0.900,RCNN_SmoothL1=0.412,RPNAcc=0.911,RPNL1Loss=0.581,RCNNAcc=0.807,RCNNL1Loss=2.079
[Epoch 0][Batch 3599], Speed: 0.682 samples/sec, RPN_Conf=0.221,RPN_SmoothL1=0.149,RCNN_CrossEntropy=0.897,RCNN_SmoothL1=0.413,RPNAcc=0.911,RPNL1Loss=0.578,RCNNAcc=0.807,RCNNL1Loss=2.078
[Epoch 0][Batch 3699], Speed: 0.687 samples/sec, RPN_Conf=0.219,RPN_SmoothL1=0.149,RCNN_CrossEntropy=0.894,RCNN_SmoothL1=0.413,RPNAcc=0.911,RPNL1Loss=0.576,RCNNAcc=0.807,RCNNL1Loss=2.077
